user_id,name,is_male,age,price_category,is_24hrs,is_outdoor,is_smoking_area,is_parking_area,is_pet_friendly,is_wifi,is_indoor,is_live_music,is_takeaway,is_kid_friendly,is_alcohol,is_in_mall,is_toilets,is_reservation,is_vip_room
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,Ethan_Jones,1,25,$$,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
2,Olivia_Smith,0,25,$,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
